Altium Designer Pick and Place Locations
C:\Users\davem\Dropbox\hardware\Altium\fun\Guppy Buddy\Project Outputs for Guppy Buddy\Assembly\Pick Place\Pick Place for BB(Main Build).txt

========================================================================================================================
File Design Information:

Date:       04/07/18
Time:       05:43
Revision:   Not in VersionControl
Variant:    Main Build
Units used: mil

Designator Comment                              Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                             
J8         J_MOLX-0522710579                    BottomLayer MOLX-0522710579         19.685        2000.000      180      "CONN FPC BOTTOM 5POS 1.00MM R/A"                                                                       
S16        "S_TACTILE_ RA_TL3330AF130QG_BUTTON" BottomLayer TL3330AF130QG           2559.055      3396.457      360      "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                      
S6         "S_TACTILE_ RA_TL3330AF130QG_BUTTON" BottomLayer TL3330AF130QG           -2559.055     3396.457      360      "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                      
R66        "4.7k Ohms"                          TopLayer    R_0402                  2849.665      3380.315      90       "RES 4.70K OHM 1/16W 1% 0402 SMD"                                                                       
R65        R_0402_10.0K                         TopLayer    R_0402                  -2274.685     3280.315      90       "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
C93        C_0402_0.1UF_25V                     TopLayer    C_0402                  2900.000      3380.315      270      "CAP CER 0.1UF 25V X6S 0402"                                                                            
C92        C_0402_0.1UF_25V                     TopLayer    C_0402                  -2225.000     3280.315      270      "CAP CER 0.1UF 25V X6S 0402"                                                                            
J15        J_LIPO_BAT_CONNECTOR                 BottomLayer HDR_1X2_LIPO_BATTERY    -1991.732     1109.370      90       "CONN HEADER PH SIDE 2POS 2MM SMD"                                                                      
R44        R_0402_100K                          TopLayer    R_0402                  -875.984      2935.004      180      "RES SMD 100K OHM 1% 1/16W 0402"                                                                        
R183       "4.7k Ohms"                          TopLayer    R_0402                  3242.087      1470.020      90       "RES 4.70K OHM 1/16W 1% 0402 SMD"                                                                       
R182       "4.7k Ohms"                          TopLayer    R_0402                  3219.055      825.000       180      "RES 4.70K OHM 1/16W 1% 0402 SMD"                                                                       
R181       "4.7k Ohms"                          TopLayer    R_0402                  2955.315      1075.000      360      "RES 4.70K OHM 1/16W 1% 0402 SMD"                                                                       
C91        C_0402_0.1UF_25V                     TopLayer    C_0402                  2930.315      1225.335      360      "CAP CER 0.1UF 25V X6S 0402"                                                                            
C86        C_0402_0.1UF_25V                     TopLayer    C_0402                  1900.412      555.315       90       "CAP CER 0.1UF 25V X6S 0402"                                                                            
R140       R_0402_10.0K                         TopLayer    R_0402                  2011.220      240.315       90       "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R180       R_0402_33                            TopLayer    R_0402                  -1100.000     2444.685      270      "RES 33.0 OHM 1/16W 1% 0402 SMD"                                                                        
R179       R_0402_33                            TopLayer    R_0402                  -1175.000     2444.685      270      "RES 33.0 OHM 1/16W 1% 0402 SMD"                                                                        
R178       R_0402_33                            TopLayer    R_0402                  -1200.000     2519.685      270      "RES 33.0 OHM 1/16W 1% 0402 SMD"                                                                        
R177       R_0402_33                            TopLayer    R_0402                  -1225.000     2444.350      270      "RES 33.0 OHM 1/16W 1% 0402 SMD"                                                                        
R176       R_0402_33                            TopLayer    R_0402                  -1075.000     2520.020      270      "RES 33.0 OHM 1/16W 1% 0402 SMD"                                                                        
R175       R_0402_33                            TopLayer    R_0402                  -1050.000     2445.020      270      "RES 33.0 OHM 1/16W 1% 0402 SMD"                                                                        
R174       R_0402_33                            TopLayer    R_0402                  -1025.000     2520.020      270      "RES 33.0 OHM 1/16W 1% 0402 SMD"                                                                        
R173       R_0402_33                            TopLayer    R_0402                  -1000.000     2445.020      270      "RES 33.0 OHM 1/16W 1% 0402 SMD"                                                                        
R163       R_0402_33                            TopLayer    R_0402                  -975.000      2520.020      270      "RES 33.0 OHM 1/16W 1% 0402 SMD"                                                                        
R152       R_0402_33                            TopLayer    R_0402                  -925.000      2444.685      270      "RES 33.0 OHM 1/16W 1% 0402 SMD"                                                                        
R151       R_0402_33                            TopLayer    R_0402                  -899.134      2519.685      270      "RES 33.0 OHM 1/16W 1% 0402 SMD"                                                                        
R146       R_0402_33                            TopLayer    R_0402                  -875.000      2444.685      270      "RES 33.0 OHM 1/16W 1% 0402 SMD"                                                                        
R145       R_0402_33                            TopLayer    R_0402                  -850.000      2519.685      270      "RES 33.0 OHM 1/16W 1% 0402 SMD"                                                                        
R144       R_0402_33                            TopLayer    R_0402                  -825.000      2444.685      270      "RES 33.0 OHM 1/16W 1% 0402 SMD"                                                                        
